timestamp,open,high,low,close,volume
2022-11-16,96.8500,98.4879,95.5400,97.1200,87958828
2022-11-15,103.2100,103.7900,97.3400,98.9400,111336317
2022-11-14,98.7700,100.1199,97.2900,98.4900,99533072
2022-11-11,97.8800,101.1900,96.6600,100.7900,111590544
2022-11-10,92.9350,98.6900,91.6500,96.6300,173414862
2022-11-09,89.4700,89.4800,85.8700,86.1400,90796249
2022-11-08,90.7900,91.7200,88.2300,89.9800,88703370
2022-11-07,91.9500,92.1000,89.0400,90.5300,77495728
2022-11-04,91.4900,92.4400,88.0400,90.9800,129101336
2022-11-11,97.8800,101.1900,96.6600,100.7900,111590544
10-11-2022,92.935,98.69,91.65,96.63,173414862
09-11-2022,89.47,89.48,85.87,86.14,90796249
08-11-2022,90.79,91.72,88.23,89.98,88703370
07-11-2022,91.95,92.1,89.04,90.53,77495728
04-11-2022,91.49,92.44,88.04,90.98,129101336
03-11-2022,92.47,93.5,89.02,89.3,136683303
02-11-2022,97.315,97.74,92.01,92.12,135761798
01-11-2022,103.99,104.58,96.06,96.79,153370032
31-10-2022,103.56,104.87,100.74,102.44,99251395
28-10-2022,97.905,103.96,97.66,103.41,223133398
27-10-2022,113.92,114.12,109.77,110.96,129605362
26-10-2022,116,119.3457,114.76,115.66,69002457
25-10-2022,119.65,121.3152,118.95,120.6,50934609
24-10-2022,119.98,120.39,116.57,119.82,49531523
21-10-2022,114.792,119.59,114.5,119.32,55660485
20-10-2022,113.83,118.24,113.51,115.25,48795104
19-10-2022,114.71,116.5932,113.22,115.07,47198122
18-10-2022,119.06,119.52,114.79,116.36,65607448
17-10-2022,110.11,114.19,110.09,113.79,62781985
14-10-2022,114.1,114.96,106.6,106.9,67737344
13-10-2022,107.88,113.44,105.345,112.53,86868103
12-10-2022,112.49,113.83,111.4,112.9,45728660
11-10-2022,112.71,115.48,110.39,112.21,56432233
10-10-2022,115.1,116.25,112.43,113.67,42339675
07-10-2022,118,118.17,113.88,114.56,54677980
06-10-2022,120.77,121.53,119.5,120.3,42253755
05-10-2022,118.58,121.75,117.69,120.95,48217535
04-10-2022,119.89,123,119.79,121.09,62812564
03-10-2022,113.58,116.91,112.45,115.88,50941854
30-09-2022,114.075,116.92,112.84,113,59479586
29-09-2022,115.6,116.07,113.06,114.8,58969714
28-09-2022,114.38,118.7,113.8,118.01,55763750
27-09-2022,117.195,118.32,113.05,114.41,60094693
26-09-2022,113.295,117.34,113.13,115.15,62723268
23-09-2022,116,116.05,112.06,113.78,65126665
22-09-2022,117.08,118.79,116.26,117.31,54959006
21-09-2022,122.49,123.76,118.45,118.54,58498887
20-09-2022,123.35,124.3963,121.14,122.19,47698432
19-09-2022,122.16,124.71,121.8,124.66,47279727
16-09-2022,122.78,123.87,120.7,123.53,115667804
15-09-2022,127.38,130.37,125.495,126.28,52887196
14-09-2022,127.364,128.84,126.33,128.55,45316772
13-09-2022,131.01,131.4,126.27,126.82,72694010
12-09-2022,134.095,136.49,134,136.45,53826859
09-09-2022,130.91,133.69,130.76,133.27,49422259
08-09-2022,127.72,130.28,127.1,129.82,43988509
07-09-2022,126.12,129.82,125.4,129.48,47834487
06-09-2022,127.92,128.62,124.74,126.11,43689994
02-09-2022,129.5,131.38,126.39,127.51,57429829
01-09-2022,126,128.02,123.66,127.82,56636145
31-08-2022,129.45,130.59,126.74,126.77,53648702
30-08-2022,131.25,132.0745,126.85,128.73,49202990
29-08-2022,129.9,131.9499,128.77,129.79,47967685
26-08-2022,136.55,137.83,130.5,130.75,53322663
25-08-2022,135.26,137.42,134.28,137.28,37496283
24-08-2022,132.75,135.47,132.1,133.8,38626978
23-08-2022,133.41,134.99,132.95,133.62,36252103
22-08-2022,135.72,136.32,132.85,133.22,50461504
19-08-2022,140.47,141.11,137.9142,138.23,47792843
